Title,Lyrics,Genre
মৃদুল বায়ে বকুল ছায়ে,"মৃদুল বায়ে বকুল ছায়ে গোপন পায়ে কে ওই আসে। আকাশ-ছাওয়া চোখের চাওয়া উতল হাওয়া কেশের বাসে॥ উষার রাগে সাঁঝের ফাগে যুগল তাহার কপোল রাঙে, কমল দুলে সুর্য্য শশী নিশীথ-চুলে আঁধার-রাশে॥ চরণ-ছোঁয়ায় পাতার ঠোঁটে মুকুল কাঁপে কুসুম ফোটে, আঁখির পলক- পতন-ছাঁদে নিশীথ কাঁদে দিবস হাসে॥ গ্রহের মালা অলখ-খোঁপায়, কপোল শোভে তারার টোপায়, কুসুম-কাঁটায় আঁচল বাধে রুমাল লুটায় সবুজ ঘাসে॥ তোমার লীলা- কমল করে নিখিল-রানি! দুলাও মোরে। ঢুলাও আমার সুবাসখানি তোমার মুখের মদির-শ্বাসে॥",নজরুলগীতি
জ​ড়োয়ার ঝুমকো তে কি রূপ খোলে,জড়োয়ার ঝুমকো তে কি রুপ খোলে গো রুপ খোলে কি কাঁকন চুঁড়ির কন্ঠ হারে। বসন্তকে কোন জড়োয়ার কে সাজাবে নদীরে গান কোন বাঁশিতে কে বাজাবে চন্দ্রিমারে কে পড়াবে অলংকারে। নিজের কাছে নিজেই তুমি প্রশ্ন করো হ্রিদয় তোমার কোন কামনায় থরথর আকুল তোমার তৃষ্ণা ডাকে কোন আমারে।।,আধুনিক
তোমার মনে ফুটবে যবে,"তোমার মনে ফুটবে যবে প্রথম মুকুল। প্রিয় হে প্রিয় আমারে দিও সে প্রেমের মুকুল।। দীরঘ বরষ মাস তাহারি আশে জাগিয়া রব তব দুয়ার-পাশে, বহিবে কবে ফুল-ফুটানো দখিনা বাতাস অনুকূল।। আর কারে দাও যদি আমার সে ধ্যানের কুসুম ক্ষতি নাই ওগো প্রিয় ভাঙুক এ অকরুণ ঘুম। গুঞ্জরি’ গুঞ্জরি’ ভ্রমর সম কাঁদিব তোমারে ঘিরি’ প্রিয়তম হুতাস বাতাস সম কুসুম ফুটায়ে চলে যাব দূরে বেভুল।।",নজরুলগীতি
প্রিয় কোথায় তুমি কোন গহনে,"প্রিয় কোথায় তুমি কোন গহনে কোন ধ্রুবলোকে কোন দূর গগনে।। খোঁজে কানন তোমায় মেলি’ কুসুম-আঁখি, ‘তুমি কোথায়’ বলি’ ডাকে বনের পাখি। আছ ঠকুর হয়ে কোন দেবালয়ে কোন শ্রাবন-মেঘে দখিনা পবনে।। সিন্ধু-বুকে মুখে লুকায়ে নদী ‘তুমি কোথায়’ বলি’ কাঁদে নিরবধি। জ্বালি’ তারার বাতি খোঁজে আঁধার রাতি, তোমায় খুঁজিয়া নিভিল জ্যোতি মোর নয়নে।।",নজরুলগীতি
এসো বঁধু ফিরে এসো ভোল ভোল অভিমান,"এসো বঁধু ফিরে এসো, ভোলো ভোলো অভিমান। দিব ও চরণে ডালি মোর তনু-মন-প্রাণ॥ জানি আমি অপরাধী তাই দিবানিশি কাঁদি, নিমিষের অপরাধের কবে হবে অবসান॥ ফিরে গেলে দ্বারে আসি বাসি কিনা ভালোবাসি, কাঁদে আজ তব দাসী, তুমি তার হৃদে ধ্যান॥ ফিরিয়া আসিয়া হেথা দিয়ো দুখ দিয়ো ব্যথা, সহে না এ নীরবতা হে দেবতা পাষাণ॥",নজরুলগীতি
মোরে ডেকে লও সেই দেশে,"মোরে ডেকে লও সেই দেশে প্রিয় যে দেশে তুমি থাক। মোর কি কাজ জীবনে বঁধূ যদি তুমি কাছে নাহি ডাক।। এই পৃথিবীর হাসি গান বঁধূ সব হয়ে যায় ম্লান, মধু-মাধবী রাসের তিথি হায় ! মাধব এলে নাকো।। এত আত্মীয় প্রিয়জন মোর কিছু নাহি ভাল লাগে, ভীড় রহে না প্রেমের নীড়ে সেথা দুটি পাখি শুধু জাগে। ফুল তুলিয়া পূজার তরে কেন ফেলে রাখ হেলা ভরে তার মরণের আগে বঁধূ শুধু বারেক চরণে রাখ।।",নজরুলগীতি
আমি তোর পীড়িতের মরা,আমি তোর পীড়িতের মরা আমি তোর পীড়িতের মরা বন্ধু চাইয়া দেখনা এক নজর বন্ধুরে অপরাধী হলেও আমি তোর তোররে বন্ধু অপরাধী হলেও আমি তোর আমায় যদি দাও তাড়াইয়া এমন জায়গা নাইরে গিয়া এ অভাগার জুড়াইতাম অন্তর তুমি যদি ঘৃণা রাখো আমি তোরে করিনা পর কত দুঃখ আমার বুকে দেখতে আসে পাড়ার লোকে তোর কি নাই কলঙ্কেরই ডর আমি যদি যাই মরিয়া কে করবে তোরে আদর,লোকসঙ্গীত
মানুষ ধরো মানুষ ভজ শোন বলিরে পাগল মন,মানুষ ধরো মানুষ ভজ শোন বলিরে পাগল মন। মানুষের ভিতরে মানুষ করিতেছে বিরাজন। মানুষ কি আর এমনি বটে যার চরণে জগৎ লুটে এই না পঞ্চভুতের ঘাটে খেলিতেছে নিরঞ্জন চৌদ্দতালার উপরে দালান তার ভিতরে ফুলের বাগান। লাইলী আর মজনু দেওয়ান সুখেই করেছে আসন।। দুই ধারে দুই কঠরা হায়াৎ মউত মাঝখানে ভরা সময় থাকতে খুঁজরে তোরা নিকটেতে কাল সময় সোনার পুরী আন্ধার করে যেদিন পাখি যাবে উড়ে। শূন্য খাঁচা থাকবে পড়ে কে করবে আর তার যতন।। তালাশে খালাশ মেলে তালাশ করো রংমহলে উঠিয়া হাবলঙের পুলে চেয়ে থাকো সর্বক্ষন দেখিবে হাবলঙের পুলে দুই দিকেতে অগ্নি জ্বলে ভেবে রশীদ উদ্দিন বলে চমকিছে স্বর্ণের মতন।।,লোকসঙ্গীত
সাথি পুরা বোতল দে আমারে নেশায় মজে রই,সাথি পুরা বোতল দে আমারে নেশায় মজে লই… ঐ নেশাতে মাতাল হইয়ে কিছু আবল তাবল কই ঐ চোখে আমার ভাসে যেন মুহাম্মাদরা রাসূল অন্তরেতে ফুটে যেন মুহাম্মাদী ফুল ।। যেথায় ফেরেস্তারা নেচে গেয়ে করতেছে হই চয় সাথী পুরা বতল দে আমারে……. যে নামেতে পাহাড় পর্বত সাগড় ঢেউ খেলে গাছ বিক্ষ তরু লতা এই ধরা তলে… আজ ফেরেস্তারা নেচে গেয়ে করতেছে হৈ চয়.. সাথী পুরা বতল দে আমারে……. না এলে মুহাম্মদ আমার না এলে ইসু আল্লা তা’য়ালা বানাইতো না এ ধরার কিছু.. আজো বাকা পথে মাতাল রাজ্জাক সুজা হইলো কই সাথী পুরা বতল দে আমারে…….. গানের কথা ও সুর : মাতাল কবি রাজ্জাক দেওয়ান গেয়েছে অনেকেই এর ভিতরে বাউল জুয়েল সরকার,লোকসঙ্গীত
সাথি পুরা বোতল দে আমারে,সাথি পুরা বোতল দে আমারে নেশায় মজে লই… ঐ নেশাতে মাতাল হইয়ে কিছু আবল তাবল কই ঐ চোখে আমার ভাসে যেন মুহাম্মাদরা রাসূল অন্তরেতে ফুটে যেন মুহাম্মাদী ফুল ।। যেথায় ফেরেস্তারা নেচে গেয়ে করতেছে হই চয় সাথী পুরা বতল দে আমারে……. যে নামেতে পাহাড় ……………… ………………………..,লোকসঙ্গীত
মুক্তি পাবে,"এমনি কোন এক ভেজা রাতের মাঝখানে এই চূর্ণ দেহখানি মুক্তি পাবে, তোমার খোঁজে বেরিয়ে পরা আত্মার কাছ থেকে এই ঝলসানো মনের কাছ থেকে। বিভ্রান্তির স্তম্ভে দাড়িয়ে তোমায় দেখেছি উচ্ছাসিত আসক্তিতে, বিদ্বেষী কোন এক কন্টক শয্যায় ডুবেছিলে পরিত্যাক্ত শ্বৈরাতন্ত্রে। এমনি কোন এক ভেজা রাতের মাঝখানে এই চূর্ণ দেহখানি মুক্তি পাবে মুক্তি পাবে মুক্তি পাবে মুক্তি পাবে মুক্তি পাবে",আধুনিক
Ai Ami,“এই আমি” কণ্ঠ ও সুর : প্রিন্স কথা : রবিন কোনো ছেকরা গাড়ির তলায় পিষে রাস্তার মাঝখানে মরে থাকতে চাইনে এই আমি। বনের রাজা হয়েও ননীর পুতুল হয়ে সার্কাসে পড়ে থাকতে চাইনে এই আমি। ডানা মেলে গগনে উড়ে বেড়ানোর সাধ্য নিয়ে বন্দি পাখি হয়ে থাকতে চাইনে এই আমি। এই আমি আর ঐ আমি তফাতটা অনেক খানি। এই আমি আর ঐ আমি অনেক বদলে গেছি। কোনো পাতাহীন গাছের ডালে ছিড়ে ঘুড়ি বালকের চোখে হতাশার কারন হতে চাইনে এই আমি । কোনো পাতাহীন গাছের ডালে ছিড়ে ঘুড়ি বালকের চোখে হতাশার কারন হতে চাইনে এই আমি । এই আমি আর ঐ আমি তফাতটা অনেক খানি। এই আমি আর ঐ আমি অনেক বদলে গেছি। কোনো ছেকরা গাড়ির তলায় পিষে রাস্তার মাঝখানে মরে থাকতে চাইনে এই আমি।,আধুনিক
Rai jago go – রাই জাগো গো,রাই জাগো গো জাগো শ্যামের মনমোহিনী বিনোদিনী রাই জেগে দেখো আর তো নিশি নাইগো জয় রাঁধে জাগো শ্যামের মনমোহিনী বিনোদিনী রাই শ্যাম অঙ্গে অঙ্গ দিয়া আছো রাঁধে ঘুমাইয়া কুল কলঙ্কের ভয় কি তোমার নাইগো জয় রাঁধে বাসি ফুল জলে ফেলে আনো সবে ফুল তুলিয়ে সে ফুল দিয়ে যুগলকে সাজাইগো জয় রাঁধে আমরা তোমার সেবার দাসী যুগল চরণ ভালবাসি যুগল বিনে অন্য আশা নাইগো জয় রাঁধে,লোকসঙ্গীত
Jago he ei nogorbasi – জাগো হে এই নগরবাসী,জাগো হে এই নগরবাসী মুখে জয় রাধা শ্রী রাধা বইলা পোহাইল নিশি জাগো হে এই নগরবাসী পূবেতে বন্দনা করি পূবের দিবাকর পূবেতে বন্দনা করি পূবের দিবাকর একদিকে উদয় ভানু চৌদিকে প্রকাশ জাগো হে এই নগরবাসী উত্তরে বন্দনা করি কৈলাস শিখর উত্তরে বন্দনা করি কৈলাস শিখর তার পাছে বন্দনা করি শিব আর পার্বতী জাগো হে এই নগরবাসী দক্ষিণে বন্দনা করি কালিদয় সাগর দক্ষিণে বন্দনা করি কালিদয় সাগর পাখি হইয়া উড়ে পড়ে নাহি বালুচর জাগো হে এই নগরবাসী পশ্চিমে বন্দনা করি ঠাকুর জগন্নাথ পশ্চিমে বন্দনা করি ঠাকুর জগন্নাথ তার পাছে বন্দনা করি শ্রী গুরুর চরণ জাগো হে এই নগরবাসী জাগো হে এই নগরবাসী মুখে জয় রাধা শ্রী রাধা বইলা পোহাইল নিশি জাগো হে এই নগরবাসী,লোকসঙ্গীত
রঙ্গশালা,গান : রঙ্গশালা গীতিকার : আমিনুল ইসলাম আপন দয়াল তোমার রঙ্গশালায় কত যায়গায় ঘুরিলাম আসল নকল না চিনিয়া ভব মায়ায় মজিলাম তত্ব সুখে নিত্ব দিনই করলাম কত ভুল ভাঙ্গা তরী বাইয়া গেলাম পাইনা কোন কোল নবী আমার পারের নাইয়া তাহারে জানাই সালাম ….ঐ নামাজ রোজা না রাখিলাম ওগ দায়াল চান তুমি দয়াল দয়ার সাগর করনা আছান কোন জায়গায় বাধ না দিয়া নদীর পানি সেচিলাম ….ঐ রাসুল আমার হিরা কাঞ্চন উম্মতের আপন আমিনুল কয় ভুল করিলাম না করলাম সাধন দিনে দিনে দিনযায় গইয়া না লইলাম আল্লাজীর নাম …. ঐ,লোকসঙ্গীত
ভন্ড প্রেম,"ভন্ড প্রেমের ভন্ডামিতে ভাংলি কেন মন,,,,,,,,,,,,,।। কোন পাপেতে কোন দোষেতে করলি রে এমন,,,,,,,,,,।। তোর কথাতে ভিক্তি করে দিয়েছিলাম মন তার জবাবে দিলি আমায় প্রেমও জ্বালাতন,,,,,,,,,,,, কোন পাপেতে কোন,,,,,,,,, ভাংবি যদি মনটা আমার কেন বাধলি ঘর মিছা মিছি প্রেম করিবার ছিলো কী প্রয়োজন,,,,,,,,,,,, কোন পাপেতে কোন,,,,,,,,, বি এম রাজে কয় ভাবিয়া শুনরে পাগল মন প্রেম করিস না ভন্ডের সাথে করবি গুরুর শন,,,,,,,,,,,,,, কোন পাপেতে কোন,,,,,,,,,, ভন্ড প্রেমের ভন্ডামিতে ভাংলি কেন মন,,,,,,,,",লোকসঙ্গীত
Sajna || সাজন || Lyrics,সাজনা এই দু চোখে চেয়ে দেখ না আমি লুকিয়ে রেখেছি যতন করে সেই তোমার দেয়া স্মৃতি আক্রে ধরে রেখে সারাক্ষণ তুমি কোথায় বল না সাজনা এই দু চোখে চেয়ে দেখ না আমারি মনেতে তোমারি ছায়া যে খেলা করে রাত্তি দুপুর তোমারি ভাবনায় মিশে যে থাকে আমার সারা দুপুর তবু কেন তোমায় পাশে পাই না সাজনা এই দু চোখে চেয়ে দেখ না স্বপ্নগুলো নিঝুম অরণ্য আর এ বিছিন্ন মন তোমারি ভাবনায় আকাশ সম ব্যাথাগুলো করে বিচরন তবু কেন আমায় তুমি বোঝনা এ জীবন তুমি ছাড়া শূন্য হায় সাজনা এই দু চোখে চেয়ে দেখ না,আধুনিক
Megher Niche|| মেঘের নিচে || Lyrics,"মেঘের নিচে ঢেকে থাকা নীল আলোড়ন , অস্থির চিত্তে গেয়ে যাওয়া প্রকৃতির গান, আঙ্গুল ছুঁয়ে যাওয়া বৃষ্টির জল অনুভূতির ছোঁয়ায় পাওয়া অসীম স্বপ্নের দল তুমি কি আর এসব ভাবনায় হারাও আনমনে হারাও কি আর আগেরই মতো চোখেরই নরম জলে বালিশ চেপে বোবা কান্না কাঁদায় আমায় শুধু একাকীত্বের বোবা বেদনা ভাবায় আমায় শুধু স্মৃতিগুলো ঘিরে থাকে আমাকে আর বৃষ্টি নামায় মনের মাঝে না বলা কথা গুলো আমায় ভাবায় তুমি কি আর এসব ভাবনায় হারাও আনমনে হারাও কি আর আগেরই মতো চোখেরই নরম জলে",আধুনিক
"বিদায় দাও গো বন্দু তোমরা,","বিদায় দাও গো বন্দু তোমরা এবার দাও বিদায়, বিদায় দাও গো বন্দু তোমরা এবার দাও বিদায়, মায়ের ছেলে মায়ের কোলে ফিরে যেতে চায়। মায়ের ছেলে মায়ের কোলে ফিরে যেতে চায়। বিদায় দাও গো বন্দু তোমরা এবার দাও বিদায়, স্রোতের শেওলা যামন ভাশে, ভাসলাম আমি তেমন করে এই ভবের পরবাসে। স্রোতের শেওলা যামন ভাশে, ভাসলাম আমি তেমন করে এই ভবের পরবাসে। কুলের দিশা তবু পেলাম নাতো কভু, কুলের দিশা তবু পেলাম নাতো কভু, সেথা ঘরে ঘরে গুরতেছি তবু, পেলাম নাতো ঠাই,পেলাম নাতো ঠাই। বিদায় দাও গো বন্দু তোমরা এবার দাও বিদায়, মায়ের ছেলে মায়ের কোলে ফিরে যেতে চায়। বিদায় দাও গো বন্দু তোমরা এবার দাও বিদায়, স্নেহ মায়ার কাঙ্গাল হয়ে, দারে দারে ফিরলাম কত, এই অবুজ মন্টারে লয়ে। স্নেহ মায়ার কাঙ্গাল হয়ে, দারে দারে ফিরলাম কত, এই অবুজ মন্টারে লয়ে। এই বুজেছি শ্বার মিছে এ সংসার, এই বুজেছি শ্বার মিছে এ সংসার, হেথায় আপন বলে মানতে পারি, এমন কেহ নাইরে, এমন কেহ নাই, এমন কেহ নাই—-",আধুনিক
"মনটা ছিলো পথে পড়ে,","মনটা ছিলো পথে পড়ে, বুকে ছিলো ব্যাথার ঢল, সঙ্গে ছিলো তোমার চিঠি, বন্দু ছিলো আঁখিজল। মনটা ছিলো পথে পড়ে, বুকে ছিলো ব্যাথার ঢল, সঙ্গে ছিলো তোমার চিঠি, বন্দু ছিলো আঁখিজল। তুমি আছো আর কিছু চাই না না গো, তুমি আছ আর কিছু চাই না। যে চোখে শ্রাবণ ছিলো, সে চোখে স্বপন আজ, যে বুকে আগুন ছিলো, সে বুকে ফাগুন আজ। যে চোখে শ্রাবণ ছিলো, সে চোখে স্বপন আজ, যে বুকে আগুন ছিলো, সে বুকে ফাগুন আজ। তোমাকে হারিয়েছি, তাইতো হারাই না, তুমি আছো আর কিছু চাই না না গো, তুমি আছো আর কিছু চাই না। যে আশা ভিদুর ছিলো, সে আশা মধুর আজ, যে মুখে বাদল ছিলো, সে মুখে বধুর লাজ। যে আশা ভিদুর ছিলো, সে আশা মধুর আজ, যে মুখে বাদল ছিলো, সে মুখে বধুর লাজ। তোমাকে ফুরিয়ে গেছি, তাইতো ফুরাই না। তুমি আছো আর কিছু চাই না, না গো তুমি আছো আর কিছু চাই না। মনটা ছিলো পথে পড়ে, বুকে ছিলো ব্যাথার ঢল, সঙ্গে ছিলো তোমার চিঠি, বন্দু ছিলো আঁখিজল। তুমি আছো আর কিছু চাই না না গো, তুমি আছ আর কিছু চাই না।",আধুনিক
"ওগো রূপসী তোমারে ভালবেসেছি,","ওগো রূপসী তুমারে ভালবেসেছি আমি, কাছে এসো দূরে সরে যেওনা, কেন এতো রাগ বুজনা কি গো অনুরাগ, তুমি, বলিতে যা চাই কেন শোনো না। দিতে পারি এনে ও রাঙ্গা চরনে, আকাশের ও চাঁদ তারা সূর্য। দিতে পারি এনে ও রাঙ্গা চরনে, আকাশের ও চাঁদ তারা সূর্য। হেলাতে সরিয়ে মরে দিও না, ওগো রূপসী তুমারে ভালবেসেছি আমি, কাছে এসো দূরে সরে যেও না। রাতে নীদ হারা, দিনে দেখি তারা, করেছো পাগল যে আমারে। রাতে নীদ হারা, দিনে দেখি তারা, করেছো পাগল যে আমারে। কেন যে তবুও ধরা দাও না, ওগো রূপসী তুমারে ভালবেসেছি আমি, কাছে এসে দূরে সরে যেও না। ওগো অভিমানী, তবু কি বুজো নি, তুমারে বিনা মিছে সবই যে। ওগো অভিমানী, তবু কি বুজো নি, তুমারে বিনা মিছে সবই যে। একবার ফিরে কেন চাও না। ওগো রূপসী তুমারে ভালবেসেছি আমি, কাছে এসো দূরে সরে যেও না, কেন এতো রাগ বুজনা কি গো অনুরাগ, তুমি, বলিতে যা চাই কেন শোনো না। ওগো রূপসী তুমারে ভালবেসেছি আমি, কাছে এসো দূরে সরে যেও না,",আধুনিক
"তুমি কাছে এসো বন্দু,","তুমি কাছে এসো বন্দু আমি ভালোবাসা পেতে চাই, আমি মনের মানুষ হতে চাই। তুমি কাছে এসো বন্দু আমি ভালোবাসা পেতে চাই, আমি মনের মানুষ হতে চাই। আমার মনেরই আসা ওগো দাওনা মিটিয়ে, ধন্য করো আমারে প্রেমের পরশ দিয়ে। তোমার চলার পথে সাথী হতে যে চাই, আমি মনের মানুষ হতে চাই। তুমি কাছে এসো বন্দু আমি ভালোবাসা পেতে চাই, আমি মনের মানুষ হতে চাই। আমায় একাকি ফেলে দূরে যেওনা চলে, দুঃখ নিয়ে জীবনে ভাসি চোখেরই জলে। ভেঙ্গে পায়েরই শিকল হারিয়ে যেতে যে চাই, আমি মনের মানুষ হতে চাই। তুমি কাছে এসো বন্দু আমি ভালোবাসা পেতে চাই, আমি মনের মানুষ হতে চাই। তুমি কাছে এসো বন্দু আমি ভালোবাসা পেতে চাই, আমি মনের মানুষ হতে চাই।",আধুনিক
"শহর থেকে দূরে,","শহর থেকে দূরে বহু দূরে- এই মন আমার হারিয়ে গেলো, যেন রূপ কথারই দেশে। শহর থেকে দূরে বহু দূরে- এই মন আমার হারিয়ে গেলো, যেন রূপ কথারই দেশে। শহর থেকে দূরে বহু দূরে- এখানে সুরের মেলা পাপীয়া দোয়েল এর গানে, এখানে সুরের মেলা পাপীয়া দোয়েল এর গানে, আলো আর ছায়ার লূকচুরী স্বপ্ন ছড়ায় প্রানে, ঐ দূর বলাকার পাখায়, এই মন চলেছে ভেশে। শহর থেকে দূরে বহু দূরে- এই মন আমার হারিয়ে গেলো, যেন রূপ কথারই দেশে। শহর থেকে দূরে বহু দূরে- এখানে দীঘির ও জলে হংস মিথুনের খেলা, এখানে দীঘির ও জলে হংস মিথুনের খেলা, বকুল এর গন্ধে মাতাল হাওয়া তুস্তূ সারা বেলা, দূর আমলক্ষির ও বনে বাতাস ঘুমায় আভেশে। শহর থেকে দূরে বহু দূরে- এই মন আমার হারিয়ে গেলো, যেন রূপ কথারই দেশে। শহর থেকে দূরে বহু দূরে—",আধুনিক
কার ঘরে বাতি জ্বলে,কার ঘরে বাতি জ্বলে এ নিশি রাইতে আমারে তুই তর মায়ায় অরে আমারে তুই তর মায়ায় রেখে দে এ নিশি রাইতে কার ঘরে বাতি জ্বলে এ নিশি রাইতে আমার দুঃখের বাশির সুর তর ঘরে কি যায়না এত দুঃখের বাশিটারে গুনে দরাইসনা আমার গুনে দরাইসনা। আমি ঋনি থাকিবোরে অরে আমি ঋনি থাকিবোরে তর এ নিশি রাইতে কার ঘরে বাতি জলে এ নিশি রাইতে তর লেমের বাতি আলোয় আমার মন ভড়ে দে এই জীবনের দুঃখের ইতি একবার টেনে দে আমার একবার টেনে দে। চন্দ্র সাক্ষী রাখিয়ারে অরে চন্দ্র সাক্ষী রাখিয়া তরে ডাকি এ নিশি রাইতে কার ঘরে বাতি জ্বলে এ নিশি রাইতে। মামুনে কয় দোহাই তর আলো নিবাইসনা অন্ধকারে মনের মাঝে খেলে বেদনা আমার খেলে বেদনা। আমি তর লেমের বাতির অরে আমি তর লেমের বাতির পাগল এ নিশি রাইতে কার ঘরে বাতি জলে এ নিশি রাইতে।,লোকসঙ্গীত
ভালোবাসি তোমায়,"হে প্রজাপতি সম নাম তোর— কী টানা টানা চোখ আর ভ্রুর মেলে ধরা, ঐ গোলাপী ঠোঁটের ও: কী পাগল করা নেশা লাগানো চুম্বন— আজও আমায় মাতাচ্ছে। হে তিতলী তুই আমার প্রিয়তমা রে ! প্রেমের কলি নব প্রেমের প্রানের ফুল, আমার নব স্বাদে আছে তোর প্রানের রেশ আমার যত যৌবন তার অর্দ্ধেক তুই। তোকে আমি দিই আমার বুকের ফুল রাখ রে তুই তোর খোঁপাতে, ভরা আমার জীবন তোর রসের জাদুতে মাতিয়ে রাখ আমায় এভাবেই।",আধুনিক
